year,quarter,quarter_no,N,income_mean,income_median,income_gini,wealth_mean,wealth_median,wealth_gini
2010,Gotthelf,9,4183,64459,48703,0.468,657785,20967,0.95
2010,Iselin,10,9535,50319,44561,0.396,104716,8492,0.836
2010,St. Johann,11,10374,48771,41626,0.447,115398,4062,0.879
2010,Altstadt Kleinbasel,12,1555,55345,41594,0.485,229873,6077,0.915
2010,Clara,13,2470,48670,39905,0.446,99397,4041,0.865
2010,Wettstein,14,3305,68607,51771,0.479,332783,20337,0.897
2010,Hirzbrunnen,15,5155,56204,49907,0.389,166139,16760,0.835
2010,Rosental,16,2699,45745,39929,0.428,56163,656,0.891
2010,Matthäus,17,8976,47953,38592,0.479,100128,1602,0.89
2010,Klybeck,18,4122,42403,38528,0.41,54235,498,0.882
2010,Kleinhüningen,19,1487,42674,39383,0.407,59853,1518,0.861
2010,Riehen,20,11711,85546,61879,0.508,550778,45951,0.862
2010,Bettingen,30,596,90882,65592,0.519,828771,67202,0.872
2011,Altstadt Grossbasel,1,1603,93154,50426,0.617,766231,34073,0.912
2011,Vorstädte,2,2923,89921,53875,0.577,1121813,32257,0.947
2011,Am Ring,3,6256,69682,50335,0.508,474358,28065,0.892
2011,Breite,4,5295,53970,46689,0.398,126461,12659,0.829
2011,St. Alban,5,6334,93887,61661,0.532,731164,52436,0.883
2011,Gundeldingen,6,11314,53245,45908,0.422,114061,7953,0.859
2011,Bruderholz,7,5049,105710,62727,0.585,1504220,54691,0.938
2011,Bachletten,8,7967,74596,56970,0.468,342308,36700,0.839
2011,Gotthelf,9,4172,64465,49679,0.461,664810,22356,0.948
2011,Iselin,10,9518,50593,44623,0.401,113005,9245,0.84
2011,St. Johann,11,10497,48891,41425,0.452,108690,4393,0.868
2011,Altstadt Kleinbasel,12,1551,53497,41439,0.481,193738,7728,0.899
2011,Clara,13,2465,48177,40068,0.444,104734,4623,0.862
2011,Wettstein,14,3291,69798,52825,0.473,366464,22985,0.898
2011,Hirzbrunnen,15,5222,56168,49805,0.39,164987,18533,0.832
2011,Rosental,16,2645,47885,41639,0.444,60887,976,0.889
2011,Matthäus,17,8958,48254,38515,0.485,104610,2275,0.885
2011,Klybeck,18,4086,42347,38489,0.411,54427,1000,0.877
2011,Kleinhüningen,19,1522,43744,40609,0.402,61015,2082,0.852
2011,Riehen,20,11723,87178,61985,0.514,591297,46880,0.871
2011,Bettingen,30,627,91894,63786,0.525,590867,64036,0.825
2012,Altstadt Grossbasel,1,1644,95708,51264,0.633,887314,35203,0.922
2012,Vorstädte,2,2917,97891,55079,0.604,1372032,37000,0.95
2012,Am Ring,3,6294,71291,50291,0.516,488275,32470,0.89
2012,Breite,4,5372,54136,46611,0.403,128565,13949,0.825
2012,St. Alban,5,6319,94300,61562,0.531,814016,56425,0.889
2012,Gundeldingen,6,11460,52987,45701,0.42,115575,9677,0.844
2012,Bruderholz,7,5035,107307,62822,0.589,2166897,62840,0.954
2012,Bachletten,8,8032,76323,57654,0.475,371076,40109,0.843
2012,Gotthelf,9,4240,64471,49813,0.46,679908,24995,0.944
2012,Iselin,10,9636,50608,44598,0.407,119346,10104,0.839
2012,St. Johann,11,10641,49695,41879,0.456,117448,5660,0.867
2012,Altstadt Kleinbasel,12,1542,55528,42059,0.5,217040,8136,0.903
2012,Clara,13,2520,48427,39958,0.455,112171,6562,0.86
2012,Wettstein,14,3293,66060,53739,0.435,253073,27051,0.847
2012,Hirzbrunnen,15,5160,56522,50238,0.392,174037,19494,0.833
2012,Rosental,16,2745,48338,41240,0.459,69545,1444,0.889
2012,Matthäus,17,9056,48648,38061,0.492,112177,3292,0.882
2012,Klybeck,18,4122,41688,37929,0.416,54090,1000,0.877
2012,Kleinhüningen,19,1570,44965,40968,0.417,64542,2982,0.848
2012,Riehen,20,11833,85617,62086,0.502,526274,49628,0.851
2012,Bettingen,30,650,96218,64533,0.543,603179,67593,0.819
2013,Altstadt Grossbasel,1,1628,101943,52323,0.65,1011559,35140,0.93
2013,Vorstädte,2,2963,97477,54154,0.602,1562522,35211,0.956
2013,Am Ring,3,6332,74705,51749,0.528,558814,32238,0.902
2013,Breite,4,5414,55364,46468,0.417,133011,12245,0.84
2013,St. Alban,5,6425,97581,61825,0.542,817904,54311,0.889
2013,Gundeldingen,6,11497,54522,47000,0.425,128106,9558,0.856
2013,Bruderholz,7,5043,113040,64030,0.602,2655147,56723,0.962
2013,Bachletten,8,7999,77193,57961,0.479,385400,34987,0.849
2013,Gotthelf,9,4218,62734,50445,0.439,725713,23609,0.949
2013,Iselin,10,9693,51687,44795,0.42,120287,9031,0.849
2013,St. Johann,11,10718,50989,41782,0.464,124334,5707,0.874
2013,Altstadt Kleinbasel,12,1540,57126,42804,0.511,236977,8562,0.912
2013,Clara,13,2529,50167,39851,0.466,117348,6316,0.871
2013,Wettstein,14,3321,68209,53849,0.452,279127,24810,0.859
2013,Hirzbrunnen,15,5150,57184,50534,0.396,176675,15645,0.848
2013,Rosental,16,2781,49047,40602,0.464,73207,1674,0.894
2013,Matthäus,17,9154,49976,38437,0.499,116354,3195,0.889
2013,Klybeck,18,4147,42571,38251,0.424,53921,1066,0.882
2013,Kleinhüningen,19,1603,46638,41468,0.42,67385,2906,0.857
2013,Riehen,20,11809,88749,62567,0.515,652857,45500,0.878
2013,Bettingen,30,638,96809,66544,0.532,640035,64991,0.828
2014,Altstadt Grossbasel,1,1652,99494,53492,0.625,1018173,37411,0.927
2014,Vorstädte,2,2992,105002,57364,0.611,1800693,38658,0.957
2014,Am Ring,3,6251,78341,53078,0.538,615395,35419,0.905
2014,Breite,4,5507,55698,47184,0.415,132928,13044,0.835
2014,St. Alban,5,6520,99115,61808,0.551,920256,56685,0.896
2014,Gundeldingen,6,11623,55613,47156,0.431,139876,10380,0.857
2014,Bruderholz,7,5037,118672,64291,0.622,2868374,61127,0.965
2014,Bachletten,8,8095,77501,57991,0.481,410582,36703,0.854
2014,Gotthelf,9,4206,63842,51275,0.437,746185,27439,0.946
2014,Iselin,10,9730,51849,44877,0.423,122530,9738,0.845
2014,St. Johann,11,10892,51897,41743,0.474,135759,6348,0.875
2014,Altstadt Kleinbasel,12,1610,59085,42729,0.51,244073,8489,0.91
2014,Clara,13,2465,49543,40426,0.459,121196,7948,0.864
2014,Wettstein,14,3431,76467,53665,0.515,565122,27802,0.926
2014,Hirzbrunnen,15,5270,58982,51079,0.408,186178,16894,0.848
2014,Rosental,16,2780,49500,41294,0.465,72774,2039,0.884
2014,Matthäus,17,9157,50417,38500,0.504,123557,4000,0.886
2014,Klybeck,18,4149,42361,38332,0.427,57717,1440,0.882
2014,Kleinhüningen,19,1617,45488,41881,0.412,63484,2776,0.849
2014,Riehen,20,11850,91165,63629,0.523,670362,48594,0.877
2014,Bettingen,30,634,100454,67444,0.529,727259,72735,0.836
2015,Altstadt Grossbasel,1,1675,98117,51000,0.637,1015165,34167,0.93
2015,Vorstädte,2,2999,99422,58511,0.58,1392666,44249,0.943
2015,Am Ring,3,6239,75841,52788,0.521,435416,35245,0.865
2015,Breite,4,5497,56292,47242,0.415,140160,13462,0.842
2015,St. Alban,5,6439,100470,61125,0.558,1033797,56238,0.911
2015,Gundeldingen,6,11541,55575,47248,0.433,145346,11338,0.86
2015,Bruderholz,7,4986,115298,65114,0.607,2519406,62152,0.959
